v8-version,4,6,85,31,0
code-creation,Stub,11,0xe02c64114a0,232,"BinaryOpICStub"
code-creation,Stub,11,0xe02c64115a0,212,"BinaryOpICStub"
code-creation,Handler,3,0xe02c6411680,120,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c6411700,220,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c64117e0,344,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6411940,332,"StoreFastElementStub"
code-creation,Stub,2,0xe02c6411aa0,188,"DoubleToIStub"
code-creation,Stub,2,0xe02c6411b60,353,"ArgumentsAccessStub"
code-creation,Stub,11,0xe02c6411ce0,232,"BinaryOpICStub"
code-creation,CallIC,8,0xe02c6411de0,113,"A call IC from the snapshot"
code-creation,Stub,11,0xe02c6411e60,486,"BinaryOpICStub"
code-creation,CallIC,8,0xe02c6412060,113,"A call IC from the snapshot"
code-creation,CallIC,8,0xe02c64120e0,533,"A call IC from the snapshot"
code-creation,Handler,3,0xe02c6412300,120,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c6412380,434,"BinaryOpICStub"
code-creation,Stub,11,0xe02c6412540,332,"BinaryOpICStub"
code-creation,Handler,3,0xe02c64126a0,120,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c6412720,462,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6412900,586,"ArraySingleArgumentConstructorStub"
code-creation,Stub,11,0xe02c6412b60,256,"BinaryOpICStub"
code-creation,Handler,3,0xe02c6412c60,272,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6412d80,510,"CreateAllocationSiteStub"
code-creation,Stub,2,0xe02c6412f80,2723,"RecordWriteStub"
code-creation,Stub,2,0xe02c6413a40,2680,"RecordWriteStub"
code-creation,Stub,11,0xe02c64144c0,458,"BinaryOpICStub"
code-creation,Stub,11,0xe02c64146a0,152,"BinaryOpICStub"
code-creation,Stub,11,0xe02c6414740,212,"BinaryOpICStub"
code-creation,Handler,3,0xe02c6414820,112,"An IC handler from the snapshot"
code-creation,CallIC,8,0xe02c64148a0,113,"A call IC from the snapshot"
